request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_01,25256.0,affordable_now,full_payment,2024-03-03:25256,2024-03-03,none,"Pay ZAR 25,256 today. This leaves at least ZAR 18,000 available over the next 90 days."
request_02,18789392.4,affordable_with_plan,installments,2025-08-08:15952906.67|2025-09-07:15952906.67|2025-10-07:15952906.67,2025-09-15,none,"Pay IDR 47,858,720.01 via 3 installments by 7 October 2025. This leaves at least IDR 29,158,400 available."
request_03,1038070.189555556,affordable_later,wait,2019-11-15:5491000,2019-11-15,none,"Wait and pay IDR 5,491,000 on 15 November 2019. This leaves at least IDR 2,668,700 available."
request_04,10702497.88266667,affordable_later,wait,2024-06-15:12693000,2024-06-15,none,"Wait until 15 June 2024 to pay the full IDR 12,693,000. This leaves at least IDR 30,686,600 available over the next 90 days."
request_05,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 12 January 2026. None of the available options keeps the ZAR 13,100 minimum protected."
request_06,620.4,affordable_with_plan,full_payment,2026-01-03:620.4,2026-01-03,stop:event_476,"Pay EUR 620.40 today, stopping the streaming plan to keep at least EUR 800 available over the next 90 days."
request_07,102240.88,affordable_with_plan,installments,2024-09-12:68432|2024-10-10:68432|2024-11-07:68432,2024-10-15,none,"Pay INR 102,240.88 via installments to complete by the deadline. This leaves at least INR 93,000 available over the next 90 days."
request_08,386.11888888888893,affordable_later,wait,2025-03-15:996.6,2025-03-15,none,Pay EUR 996.60 on 15 March 2025. This leaves at least EUR 800.00 available over the next 90 days.
request_09,166.61,affordable_now,full_payment,2026-07-04:166.61,2026-07-04,none,Pay EUR 166.61 today. This leaves at least EUR 600.00 available over the next 90 days.
request_10,15824.987444444618,not_affordable,not_recommended,none,,none,"Do not make this payment by 10 February 2025. None of the available options keeps the INR 225,400 minimum protected."
request_11,13110000.0,affordable_now,full_payment,2025-05-03:13110000,2025-05-03,none,"Pay IDR 13,110,000 today. This leaves at least IDR 34,140,600 available over the next 90 days."
request_12,65164.0,affordable_with_plan,installments,2026-04-19:22590.19|2026-05-20:22590.19|2026-06-20:22590.19,2026-04-05,none,"Pay ZAR 65,164 via installments by 20 June 2026. This leaves at least ZAR 43,200 available over the next 90 days."
request_13,777.1144444444426,affordable_later,wait,2024-05-15:941.6,2024-05-15,none,"Pay EUR 941.60 on 15 May 2024. This leaves at least EUR 1,300 available over the next 90 days."
request_14,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 4 October 2025. None of the available options keeps the EUR 2,200 minimum protected."
request_15,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 01 February 2026. None of the available options keeps the EUR 1,200 minimum protected."
request_16,122500.0,affordable_now,full_payment,2023-08-12:122500,2023-08-12,none,"Pay INR 122,500 today. This leaves at least INR 122,400 available over the next 90 days."
request_17,251741.133111111,affordable_with_plan,installments,2026-03-01:95194.67|2026-03-31:95194.67|2026-04-30:95194.67,2026-03-15,none,"Pay INR 251,741 over three installments, completing by 30 April 2026. This leaves at least INR 166,100 available."
request_18,689.2966666666666,affordable_later,wait,2026-08-15:3246.1,2026-08-15,none,"Wait until 15 August 2026 to pay EUR 3,246.10 in full. This leaves at least EUR 1,400 available over the next 90 days."
request_19,28675.322000000015,affordable_with_plan,partial_payment,2024-09-04:28675.32|2024-09-15:10984.68,2024-09-15,none,"Pay INR 28,675.32 today and the remainder on 15 September. This leaves at least INR 92,800 available over the next 90 days."
request_20,15208.590000000011,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-02-22. None of the available options keeps the INR 64,500 minimum protected."
request_21,1574.4,affordable_now,full_payment,2026-04-03:1574.4,2026-04-03,none,"Pay USD 1,574.40 today. This leaves at least USD 1,800 available over the next 90 days."
request_22,455.25777777777785,affordable_with_plan,installments,2024-12-08:253.59|2025-01-05:253.59|2025-02-02:253.59,2025-01-15,none,"Pay EUR 455.26 via three installments, completing by 2 February 2025. This leaves at least EUR 500.00 available over the next 90 days."
request_23,8614.921777777774,affordable_later,wait,2025-07-15:38016,2025-07-15,none,"Pay ZAR 38,016 on 15 July 2025. This leaves at least ZAR 27,000 available over the next 90 days."
request_24,14770.146888888878,not_affordable,not_recommended,none,,none,"Do not invest the requested amount by 08 February 2026. None of the available options keeps the INR 51,000 minimum protected."
request_25,2522170.240444444,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 April 2024. None of the available options keeps the IDR 23,379,100 minimum protected."
